Operating Airline_,total_passengers,avg_passengers,median_passengers,Airline_count,International_A,International_G,Other_Other,Terminal 1_A,Terminal 1_B,Terminal 1_C,Terminal 2_D,Terminal 3_E,Terminal 3_F,2005_Fall,2005_Summer,2005_Winter,2006_Fall,2006_Spring,2006_Summer,2006_Winter,2007_Fall,2007_Spring,2007_Summer,2007_Winter,2008_Fall,2008_Spring,2008_Summer,2008_Winter,2009_Fall,2009_Spring,2009_Summer,2009_Winter,2010_Fall,2010_Spring,2010_Summer,2010_Winter,2011_Fall,2011_Spring,2011_Summer,2011_Winter,2012_Fall,2012_Spring,2012_Summer,2012_Winter,2013_Fall,2013_Spring,2013_Summer,2013_Winter,2014_Fall,2014_Spring,2014_Summer,2014_Winter,2015_Fall,2015_Spring,2015_Summer,2015_Winter,2016_Spring,2016_Winter,Cluster
China Southern,133504,4450.133333333333,5506.5,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729,33762,11565,31061,19008,12082,23297,0
Compass Airlines,2055553,23358.55681818182,20880.8,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141755,0,0,56339,142785,156332,179262,153522,192288,186032,219825,171964,38788,84597,0
Delta Air Lines,6507642,24720.94379844961,20880.8,386,100,0,0,0,0,0,0,0,0,138332,103602,40850,128787,134482,164877,115395,149582,150240,169467,129902,154947,158225,192195,145727,158135,157095,192195,151417,144987,160772,167227,147082,145250,162882,171770,136082,171465,164570,202082,141720,141755,148682,162577,143700,142785,156332,179262,153522,195395,186032,219825,175250,53972,104615,1
EVA Airways,3384020,13116.356589147286,12883.5,258,0,30,0,0,0,0,0,0,0,64621,51748,23368,71943,70569,80724,74252,76335,80013,85954,76625,65878,74649,81707,75421,67859,66237,76878,72434,56987,76934,83044,73870,65175,65153,78929,68018,68586,70042,86436,75196,76490,76419,87417,79376,86624,85762,99141,89153,91349,102011,103153,99111,34040,68389,1
Emirates ,1632756,9070.866666666667,9542.5,180,106,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2913,41396,24565,43727,28846,48995,54331,56951,51537,51883,53442,56600,54433,52335,55335,59781,59284,56059,51898,57435,57882,56769,59511,59789,64468,65266,76284,81494,75569,25263,48715,0
Etihad Airways,220187,6476.088235294118,6426.5,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4125,0,0,14790,35019,39311,46891,41410,12106,26535,0
Evergreen International Airlines,2,2.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ExpressJet Airlines,180219,5631.84375,5951.5,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38849,0,36320,12433,317,34000,36943,21357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontier Airlines,4624796,17787.676923076924,17526.5,260,0,0,0,0,0,0,0,0,0,77492,71897,25904,114620,100867,132686,83458,109557,149957,166974,98878,81775,94672,117593,70552,85182,77651,89492,68279,110709,85092,107027,75742,126686,107546,131133,88514,112699,111893,113845,95453,104896,90699,99000,82893,107369,101979,116738,95342,171851,116967,154915,140044,53972,102191,1
Hawaiian Airlines,2136804,8282.186046511628,7560.5,258,111,0,0,0,0,0,0,0,0,43864,30911,14626,42727,42930,44039,41375,43009,44551,44323,40619,41336,45726,41987,41456,43168,43500,44963,42628,43041,44480,45217,43315,43878,47085,43779,42541,47995,47320,49393,48455,47730,50625,51629,48918,47274,49781,49064,55891,80321,86312,87930,74898,31050,51144,0
Horizon Air ,1204758,5577.583333333333,5262.5,216,0,0,0,0,0,0,0,0,0,26426,21381,8575,26465,26742,28975,23511,17688,28770,31965,22686,21130,24408,32395,20637,50833,31143,55721,32294,49642,52215,64567,45343,33169,35162,36627,38607,32244,36219,34532,35399,29955,32897,31665,32451,0,30524,2189,19606,0,0,0,0,0,0,0
Icelandair,55994,2799.7,2529.5,20,20,0,0,0,0,0,0,0,0,5457,17927,0,5105,1967,25538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independence Air,63913,6391.3,5360.5,10,10,0,0,0,0,0,0,0,0,23062,40851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan Airlines,1675816,6470.332046332046,6306.0,259,259,0,0,0,0,0,0,0,0,45450,35490,16286,48254,46552,54867,46158,49385,51138,56536,47365,37523,44189,53115,39889,40219,33800,41093,34862,36409,38026,40302,36164,33625,26366,36690,31807,34632,33275,40067,33707,27369,34412,38938,30083,27895,27255,31406,28545,37972,36113,40364,35013,12572,24638,0
Jet Airways,68485,4280.3125,4264.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24476,0,30802,9645,0,0,0,3562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
